Marker coordinates: x=414, y=234
Marker coordinates: x=430, y=252
Marker coordinates: x=396, y=242
Marker coordinates: x=396, y=242
Marker coordinates: x=437, y=233
Marker coordinates: x=437, y=233
Marker coordinates: x=419, y=235
Marker coordinates: x=419, y=235
Marker coordinates: x=457, y=265
Marker coordinates: x=457, y=265
Marker coordinates: x=396, y=242
Marker coordinates: x=396, y=242
Marker coordinates: x=420, y=239
Marker coordinates: x=441, y=231
Marker coordinates: x=441, y=231
Marker coordinates: x=447, y=251
Marker coordinates: x=447, y=251
Marker coordinates: x=447, y=254
Marker coordinates: x=447, y=254
Marker coordinates: x=455, y=267
Marker coordinates: x=455, y=267
Marker coordinates: x=409, y=264
Marker coordinates: x=409, y=264
Marker coordinates: x=410, y=263
Marker coordinates: x=428, y=257
Marker coordinates: x=428, y=257
Marker coordinates: x=436, y=274
Marker coordinates: x=436, y=274
Marker coordinates: x=455, y=269
Marker coordinates: x=455, y=269
Marker coordinates: x=372, y=221
Marker coordinates: x=331, y=203
Marker coordinates: x=331, y=203
Marker coordinates: x=369, y=191
Marker coordinates: x=369, y=191
Marker coordinates: x=457, y=172
Marker coordinates: x=457, y=172
Marker coordinates: x=460, y=188
Marker coordinates: x=426, y=160
Marker coordinates: x=426, y=160
Marker coordinates: x=413, y=162
Marker coordinates: x=413, y=162
Marker coordinates: x=402, y=164
Marker coordinates: x=402, y=164
Marker coordinates: x=337, y=199
Marker coordinates: x=337, y=199
Marker coordinates: x=400, y=182
Marker coordinates: x=400, y=182
Marker coordinates: x=384, y=165
Marker coordinates: x=392, y=183
Marker coordinates: x=392, y=183
Marker coordinates: x=373, y=204
Marker coordinates: x=373, y=204
Marker coordinates: x=400, y=177
Marker coordinates: x=400, y=177
Marker coordinates: x=406, y=138
Marker coordinates: x=406, y=138
Marker coordinates: x=445, y=152
Marker coordinates: x=445, y=152
Marker coordinates: x=453, y=147
Marker coordinates: x=407, y=168
Marker coordinates: x=407, y=168
Marker coordinates: x=398, y=173
Marker coordinates: x=398, y=173
Marker coordinates: x=406, y=187
Marker coordinates: x=406, y=187
Marker coordinates: x=453, y=130
Marker coordinates: x=467, y=119
Marker coordinates: x=467, y=119
Marker coordinates: x=405, y=145
Marker coordinates: x=405, y=145
Marker coordinates: x=410, y=142
Marker coordinates: x=410, y=142
Marker coordinates: x=400, y=151
Marker coordinates: x=436, y=169
Marker coordinates: x=436, y=169
Marker coordinates: x=407, y=158
Marker coordinates: x=407, y=158
Marker coordinates: x=404, y=173
Marker coordinates: x=404, y=173
Marker coordinates: x=457, y=166
Marker coordinates: x=457, y=166
Marker coordinates: x=458, y=176
Marker coordinates: x=458, y=176
Marker coordinates: x=466, y=169
Marker coordinates: x=450, y=184
Marker coordinates: x=450, y=184
Marker coordinates: x=401, y=180
Marker coordinates: x=401, y=180
Marker coordinates: x=454, y=204
Marker coordinates: x=454, y=204
Marker coordinates: x=404, y=159
Marker coordinates: x=404, y=159
Marker coordinates: x=410, y=159
Marker coordinates: x=469, y=190
Marker coordinates: x=469, y=190
Marker coordinates: x=430, y=195
Marker coordinates: x=430, y=195
Marker coordinates: x=405, y=169
Marker coordinates: x=405, y=169
Marker coordinates: x=383, y=198
Marker coordinates: x=331, y=224
Marker coordinates: x=331, y=224
Marker coordinates: x=315, y=238
Marker coordinates: x=315, y=238
Marker coordinates: x=329, y=226
Marker coordinates: x=329, y=226
Marker coordinates: x=359, y=242
Marker coordinates: x=359, y=242
Marker coordinates: x=381, y=206
Marker coordinates: x=419, y=217
Marker coordinates: x=419, y=217
Marker coordinates: x=451, y=286
Marker coordinates: x=451, y=286
Marker coordinates: x=339, y=165
Marker coordinates: x=339, y=165
Marker coordinates: x=345, y=213
Marker coordinates: x=345, y=213
Marker coordinates: x=338, y=253
Marker coordinates: x=338, y=253
Marker coordinates: x=354, y=248
Marker coordinates: x=388, y=188
Marker coordinates: x=388, y=188
Marker coordinates: x=349, y=226
Marker coordinates: x=349, y=226
Marker coordinates: x=374, y=218
Marker coordinates: x=374, y=218
Marker coordinates: x=362, y=205
Marker coordinates: x=362, y=205
Marker coordinates: x=364, y=208
Marker coordinates: x=415, y=242
Marker coordinates: x=415, y=242
Marker coordinates: x=388, y=208
Marker coordinates: x=388, y=208
Marker coordinates: x=384, y=204
Marker coordinates: x=384, y=204
Marker coordinates: x=381, y=232
Marker coordinates: x=398, y=248
Marker coordinates: x=398, y=248
Marker coordinates: x=448, y=255
Marker coordinates: x=448, y=255
Marker coordinates: x=452, y=265
Marker coordinates: x=452, y=265
Marker coordinates: x=442, y=229
Marker coordinates: x=442, y=229
Marker coordinates: x=492, y=281
Marker coordinates: x=473, y=270
Marker coordinates: x=473, y=270
Marker coordinates: x=406, y=191
Marker coordinates: x=406, y=191
Marker coordinates: x=436, y=178
Marker coordinates: x=436, y=178
Marker coordinates: x=431, y=175
Marker coordinates: x=431, y=175
Marker coordinates: x=376, y=145
